judul_proposal,deskripsi
PEMODELAN DINAMIS DAN  PENGENDALI TORKA MOTOR BLDC ( BRUSHLESS DIRECT CURRENT ) SEBAGAI PENGGERAK MOBIL ELEKTRIK,Teknik Ketenagalistrikan
Disain dan Implementasi Perangkat,Teknik Telekomunikasi
Pengembangan Prototipe Software-Defined Network (SDN) untuk Meningkatkan Fleksibilitas Provisioning dan Rekonfigurasi Jaringan IP Masa Depan,Teknik Telekomunikasi
Uji Model Basisdata Spatio-Temporal untuk Kebencanaan di Indonesia,Rekayasa Perangkat Lunak dan Data
Pengembangan Software Antarmuka Digital Content-Course Creator berbasis Freeware untuk Mendukung Digital Learning,Rekayasa Perangkat Lunak dan Data
PENGEMBANGAN PENGUAT DAYA RF SINYAL BESAR �BROADBAND�  LD-MOSFET DENGAN TEKNIK LINIERISASI PRE-DISTORSI DIJITAL,Elektronika
Pengambilan Keputusan Sistem Multi Agen Menggunakan Algoritma Multi Agent Reinforcement Learning (MARL),Teknik Komputer
Pembangkit Portofolio Siswa,Informatika
Kajian Pentarifan untuk Interkoneksi SMS Hubbing dan Kemungkinan Penerapannya di Indonesia,Teknik Telekomunikasi
Perancangan dan implementasi perangkat Audience Computer untuk mendukung program Digital Learning,Teknologi Informasi
PENCETAKAN LULUSAN SMA/SMK MENJADI WIRAUSAHA TUTOR EKTRA KURIKULER,Teknologi Informasi
KOMPARATOR GAMBAR  BERBASIS STATISTIK DAN BENTUK GEOMETRI,Informatika
Multiple View Face Recognition Menggunakan Kamera 3 Dimensi dan Algoritma Machine Learning (Multiple View Face Recognition Using 3 Dimension Camera and Machine Learning Algorithm),Teknik Komputer
Peningkatan Kapasitas Sistem Selular CDMA Menggunakan Metoda Deteksi Multi User,Teknik Telekomunikasi
"ITB Board, Sebuah Sistem dan Framework Redistribusi Konten Telematika",Teknik Telekomunikasi
Sistem Pembayaran Elektronis Multi Devais Terintegrasi: RFID dan NFC smartcard,Teknik Komputer
Disain dan Pengembangan Prototype Pemancar TV Digital DVB-T untuk TV Komunitas Kampus ITB,Teknik Telekomunikasi
Desain dan Pembuatan Prototipe Modul Sensor Warna untuk Perangkat Uji Tanah Sawah,Elektronika
Pengembangan Konten Video Ajar Perkuliahan Berbasis Blended Learning dan Pengukuran Efektivitasnya untuk Perkuliahan Teknologi Informasi,Teknologi Informasi
Implementasi Pengendali Kecepatan dan Posisi Sudut Belok untuk Penggerak Mobil Listrik Menggunakan Pengendali Mikro Hibrid (The Implementation of speed and turn-angular position control  for electric car drive using micro-hybrid controller ),Sistem Kendali dan Komputer
Pengembangan Chipset Smartcard dengan Struktur Memory Efisien dan Unit Co-processor Kriptografi Terintegrasi untuk Aplikasi Rekam Medis Elektronik,Elektronika
Perancangan Modul Frame Synchronizer untuk Perangkat Portable Network Analyzer LTE Berbiaya Murah (Design of Frame Synchronizer for Low-cost LTE Network Analyzer),Elektronika
Pengembangan Aplikasi pada Perangkat Komunikasi Bergerak untuk Kaji Cepat Kerusakan Sebagai Bagian dari Kegiatan Pengelolaan Bencana di Indonesia Tahap II,Teknik Telekomunikasi
Rancang Bangun Prototipe Mobile Robosoccer Dan Implementasi Artificial Neural Network   Research and Development Prototype RoboSoccer Mobile And Artificial Neural Network Implementation,Sistem Kendali dan Komputer
Penggunaan Metode Sound Triangulation Pada Pengukuran Kondisi Jantung Dengan Menggunakan Electronic Stetoschope Yang Ditanam Pada Smart Chair (Measurement of Heart Condition Using Sound Triangulation Method by Electronic Sthetoscope in Smart Chair),Teknik Komputer
IDENTIFIKASI DAN PENJEJAKAN OBJEK MENGGUNAKAN ALGORITMA PEMROSESAN CITRA SIFT UNTUK REMOTE CONTROL WEAPON SYSTEMS  (Object Identification and Object Tracking Using SIFT Image Processing Algorithm For Remote Control Weapon Systems),Sistem Kendali dan Komputer
Penggunaan Metode Independent Component Analysis (ICA) Pada Rancang  Bangun Pengukur Detak Jantung di Diagnostic Mirror sebagai bagian Ubiquitus Medical Systems  (Implementation of Independent Component Analysis for Heartbeat Rate as Part of Ubiquitus Med,Teknik Komputer
Sistem Interaksi Cerdas Dengan Teknologi Voice dan Augmented Reality Pada Sistem Transportasi Personal (Smart Interaction on Personal Transportation System Using Voice Technology and Augmented Reality),Sistem Kendali dan Komputer
Segmentasi dan Kuantifikasi Citra 3D CT Jantung untuk Deteksi Penyempitan Pembuluh Koroner,Teknik Biomedika
Integrasi PACS Yang Mendukung Interoperabilitas Pada Sistem Informasi Rumah Sakit,Teknik Biomedika
Rancang Bangun Pengenalan Pola Gelombang Otak Menggunakan SVM Pada Brain Computer Interface P300 Speller,Teknik Komputer
Pengembangan Sistem Keamanan Data Radar,Teknik Telekomunikasi
Simulasi Fluida Berbasis Partikel Untuk Aplikasi Mobile  Interaktif,Informatika
Pengembangan Customized Social Network Berbasis Web untuk Menunjang Lesson Study secara Online (Development of Web-based Customized Social Network for Supporting Online Lesson Study),Teknologi Informasi
Arsitektur QoS pada Aplikasi Multimedia Delivery untuk Mendukung Digital Lesson Study (QoS Architecture on Multimedia Delivery Application for Supporting Digital Lesson Study),Teknologi Informasi
Pengembangan Estimasi Kanal Downlink Pada Sistem High Altitude Platforms (HAPs) Sebagai Infrastruktur Baru Penyelenggaraan Broadband Wireless Access (BWA) di Indonesia,Teknik Telekomunikasi
Simulasi Kinerja SC-FDMA Sebagai Metoda Akses LTE Arah Uplink pada Kanal HAPS Hasil Pengukuran,Teknik Biomedika
Analisis Teknologi Multicast Sebagai Aplikasi Alternatif Untuk Layanan Konferensi Video Pada Testbed Low Speed Network,Teknologi Informasi
Assessment Framework Perkuliahan  berbasis Business Intelligence Tahap I: Sistem Penunjang Tesis,Rekayasa Perangkat Lunak dan Data
Pengembangan Framework  Learning ManagementSystem dengan Autograder  untuk Ujian dan Praktikum Programming,Rekayasa Perangkat Lunak dan Data
Deviation Detection via Visualization,Rekayasa Perangkat Lunak dan Data
PENJAMINAN INTEGRITAS DATA UNTUK KEAMANAN TRANSAKSI PETA DIGITAL MENGGUNAKAN DIGITAL WATERMARKING,Rekayasa Perangkat Lunak dan Data
Deteksi Penyempitan Pembuluh Koroner dengan Citra Medis CT 3D,Teknik Biomedika
"ITB Board, Sebuah Sistem dan Framework Redistribusi Konten Telematika",Teknik Telekomunikasi
Pengembangan Arsitektur Memory Efisien dan Unit Co-processor kriptografi Terintegrasi pada Chipset Smartcard untuk Aplikasi Rekam Medis Elektronik,Elektronika
Disain dan Pengembangan Prototype Pemancar TV Digital DVB-T untuk TV Komunitas Kampus ITB,Teknik Telekomunikasi
Pengembangan Kerangka Penilaian Empiris untuk Model Kualitas Pembelajaran Digital,Rekayasa Perangkat Lunak dan Data
PEMBANGKITAN SOAL DAN PEMERIKSAAN JAWABAN  ESSAY SECARA OTOMATIS UNTUK EVALUASI   PEMBELAJARAN DIGITAL  (An Automatic Question Generator and Answer Judgment for Digital Learning Evaluation),Informatika
Implementasi Pengendali Kecepatan dan Posisi Sudut Belok Untuk Penggerak Mobil Listrik Menggunakan Pengendali Mikro Hibrid,Sistem Kendali dan Komputer
Desain dan Implementasi Algoritma Enkripsi BC4,Elektronika
"Pengembangan Prototipe Skala Industri Sistem ExG (Integrasi Sistem EEG, EKG, dan EMG)",Elektronika
Solusi lojik penanganan objek bergerak dalam model Basisdata Spatio Temporal Kebencanaan Indonesia,Rekayasa Perangkat Lunak dan Data
Pengendalian Torka denyut Mobil Listrik Dengan Penggerak Motor Arus Searah Tanpa Sikat,Teknik Ketenagalistrikan
Pengembangan Algoritma Penyalipan untuk  Kendaraan Otomatis Berbasis Multi Agent System  (MAS),Teknik Komputer
Rancang Bangun Movement Strategy Pada RoboSoccer Menggunakan Metode Fuzzy Logic,Teknik Komputer
Rancang Bangun Metode Thunniform Pada Forward Locomotion Robot Ikan,Sistem Kendali dan Komputer
Sistem PCR (Polymerase Chain Reaction) berbasis Teknologi MEMs untuk Studi DNA,Elektronika
Green Internet Network,Teknik Komputer
Pengembangan Model Kualitas Informasi untuk Rumah  Sakit dengan menggunakan pendekatan Six-Sigma,Informatika
"Instalasi Laboratorium Terpadu Lahan Taman Pemakaman, Pertanian dan Terapan Teknologi,  Sebagai Sarana Pendidikan Masyarakat.",Sistem Kendali dan Komputer
Pengembangan Lanjut Assistive Technolgy untuk Pengguna dengan Gangguan Syaraf Motorik  (Cerebral Palsy),Elektronika
Peningkatan Daya Saing Pedagang Eceran Tradisional dengan Penerapan Aplikasi Point of Sale  berbasis Smartphone,Informatika
Penerapan Sistem e-Health untuk Meningkatkan Kesehatan Balita di Kecamatan Kiaracondong Bandung,Teknik Biomedika
Pengembangan Aplikasi Sarana Pelayanan Masyarakat (SAPA) Berbasis Mobile Untuk Mendukung Integrasi Informasi Program Posyandu Jawa Barat,Rekayasa Perangkat Lunak dan Data
Pengembangan Alat Bantu Praktikum Pengukuran Parameter Antena Berbasis Mikrokontroler Untuk Meningkatkan Pemahaman Siswa SMK dan Mahasiswa,Teknik Telekomunikasi
Pengembangan Teknologi Proses Printed Circuit Board (PCB) 2 Lapis dengan Lubang Pengubung (Through Hole) dan Metode Karakterisasinya,Elektronika
Perpustakaan Terintegrasi: Buku untuk Adikku,Teknik Ketenagalistrikan
GANESHA HEJO: Program Pengelolaan Sampah Terintegrasi di Kawasan Ganesha,Teknologi Informasi
Pengembangan UKM Berbasis Masyarakat di Wilayah Cisitu,Sistem Kendali dan Komputer
"Instalasi Laboratorium Pembibitan Tanaman Pangan dan Perkebunan Sebagai Percontohan Kombinasi Pemenuhan Ketahanan Pangan dan Kontribusi Langit Biru Pepohonan Terpadu Terapan Teknologi,  Sebagai Sarana Pendidikan Masyarakat.",Sistem Kendali dan Komputer
Pengaruh Spacer pada Perambatan Gelombang Elektromagnetik yang Diradiasikan oleh Partial Discharge pada Gas Insulated Switchgear,Teknik Ketenagalistrikan
Rancang Bangun Modul Sistem Logistik Makanan Berbasis Near Field Communication (NFC) di Indonesia,Elektronika
"Peningkatan Kapasitas Sistem CDMA dengan Kombinasi RAKE, Power Control, Diversitas, Muticarrier dan Multiuser",Teknik Telekomunikasi
STUDY OF DIELECTRIC PROPERTIES OF LIQUID INSULATION FOR HIGH TEMPERATURE APPLICATIONS,Teknik Ketenagalistrikan
Analisa Topologi Baru Inverter Kombinasi Konverter DC-DC Untuk Aplikasi Pada Pembangkit Listrik Tenaga Surya,Teknik Ketenagalistrikan
Aplikasi Smart Metering System untuk Implementasi Green IT,Informatika
Axis Rotation Fast Decoupled Method for Distribution Three Phase Load Flow,Teknik Ketenagalistrikan
Modul Keamanan Suara,Elektronika
Pengembangan Perangkat Mobile Soil Sensor untuk Pengujian Kondisi Lahan Pertanian,Elektronika
Pengaruh Geometri dan Dimensi Elektroda serta Kehadiran Partikel Asing terhadap Karakteristik Medan Listrik pada Peralatan Listrik Tegangan Tinggi Tiga Fasa,Teknik Ketenagalistrikan
Perancangan dan Implementasi Rangkaian Penyesuai Impedansi untuk Pengukuran Partial Discharge dalam Jangkauan Frekuensi sampai Satu Giga Hertz,Teknik Ketenagalistrikan
Penerapan Teknologi Informasi pada Anak Usia Sekolah Dasar Masyarakat Kota Kurang Mampu,Teknik Telekomunikasi
Perluasan Jangkauan Teknologi Akses Jaringan Nirkawat untuk Memacu Pertumbuhan Industri Kecil dan Menengah Daerah Pedesaan,Teknik Telekomunikasi
Desain Material Dielektrik Artifisial dengan Permitivitas Anisotropik dan Komputasi Numeriknya Berbasis Metode FDTD,Teknik Telekomunikasi
Komputasi Numerik Pengurangan Rugi-Rugi Transmisi Optical Waveguide dengan Metode FDTD,Teknik Telekomunikasi
Pengaruh Spacer pada Perambatan Gelombang Elektromagnetik yang Diradiasikan oleh Partial Discharge pada Gas Insulated Switchgear,Teknik Ketenagalistrikan
Perancangan dan Implementasi Rangkaian Penyesuai Impedansi untuk Pengukuran Partial Discharge dalam Jangkauan Frekuensi sampai Satu Giga Hertz,Teknik Ketenagalistrikan
Framework Implementasi Nilai Teknologi Informasi pada Industri Kecil Menengah di Indonesia untuk Peningkatan Keunggulan Bersaing,Teknologi Informasi
Sistem Smartgrid Untuk Efisiensi Pemanfaatan Listrik,Elektronika
Open-Enterprise Resource Planning untuk Peningkatan Keunggulan Industri Kecil dan Menengah,Informatika
Pemanfaatan TIK untuk Peningkatan Industri Kecil Menengah bidang Pariwisata melalui Intelligent Tourism Center System,Teknologi Informasi
Pengembangan Sistem Informasi Simpan Pinjam di Perangkat Smart Phone untuk Menunjang Unit Bisnis pada Organisasi Usaha Kecil Menengah (Koperasi),Teknik Biomedika
Pengembangan Alat Bantu Pengukuran Parameter Antena Berbasis Mikrokontroler Untuk SMK dan Perguruan Tinggi,Teknik Telekomunikasi
Pemanfaatan Open-Source ERP untuk meningkatkan Kemampuan UKM,Informatika
Pemanfaatan Jejaring Sosial Facebook dan Media Dropbox Untuk Pendidikan dan Pengajaran di Sekolah,Informatika
Aplikasi Cerdas Manajemen Keuangan Untuk UKM Berbasis Cloud,Informatika
Studi Karakteristik Tanah untuk Pentanahan di Lingkungan Medis pada Arus Bolak-Balik Frekuensi Tinggi,Teknik Ketenagalistrikan
Penerapan Virtual Classbox untuk Mendukung Online Lesson Study di Cianjur - Jawa Barat,Teknologi Informasi
Smart Logistic Berbasis NFC & WSN Pendukung Distribusi Barang Mudah Rusak,Elektronika
Pengembangan Sistem Monitoring Angkutan Pada Pengiriman Air Susu Sapi ��� Koperasi Tani Laras Ati - Kuningan,Teknik Telekomunikasi
Pengembangan Sistem Informasi Dalam Pengelolaan Usaha Daur Ulang Sampah Plastik di Tingkat Pengolah,Teknik Telekomunikasi
"Revitalisasi LaboratoriumTeknik Tegangan Tinggi ITB untuk Peningkatan Pelayanan Praktikum Teknik Tegangan Tinggi bagi ITB, Perguruan Tinggi Swasta, dan Industri",Teknik Ketenagalistrikan
Pengembangan Repositori Dokumen Untuk Pendukung Pelaksanaan E-Government,Rekayasa Perangkat Lunak dan Data
Program Teleedukasi dengan SMS-Caster untuk Pencegahan Penularan HIV di Kota Bandung,Teknik Biomedika
Pengembangan Modul Catu Daya Pulsa sebagai Perangkat Pelapisan Tembaga bagi Industri PCB Multilapis Skala Kecil,Elektronika
Desain Elektroda Peralatan Listrik Tegangan Tinggi Tiga Fasa dengan Mempertimbangkan Pengaruh Geometri dan Dimensi Elektroda serta Kehadiran Partikel Asing terhadap Karakteristik Medan Listrik,Teknik Ketenagalistrikan
Pengembangan Green Internet Network,Teknik Komputer
Pengembangan Sensor Tanah Elektronik untuk Pengujian Kondisi Lahan Pertanian,Elektronika
Sistem Pelacak Real Time untuk Atlit Sepak Bola (Real Time Soccer Athlete Tracker),Teknik Biomedika
Keamanan Telekomunikasi Radio Jarak Pendek,Elektronika
Pengembangan Massive Open Online Course (MOOC) untuk Peningkatan Kualitas Pendidikan Indonesia,Informatika
PENGEMBANGAN ALGORITMA FRAGILE WATERMARKING UNTUK OTENTIKASI CITRA DIGITAL,Informatika
Perancangan Penguat Derau Rendah dengan Teknik Non Simultaneous Conjugate Match untuk Aplikasi Radar FMCW,Teknik Telekomunikasi
Penggeser Fasa Terprogram Berbasis Mikrokontroler Untuk Aplikasi Beam Reconfigurable Antenna,Teknik Telekomunikasi
CETAK BIRU KATALOG SISTEM LAYANAN DAN ENTERPRISE SERVICE BUS UNTUK PERUSAHAAN KECIL MENENGAH SEKTOR JASA KEUANGAN,Teknologi Informasi
Program Aliran Beban di Sistem Distribusi Tenaga Listrik. Distribution Loadflow Program.,Teknik Ketenagalistrikan
PENGEMBANGAN MODEL UJI BALON UTERUS UNTUK MENURUNKAN ANGKA KEMATIAN IBU MELAHIRKAN DI INDONESIA,Teknik Biomedika
Sistem Relay Network untuk Internet-of-Things (IoT) Berbasis Accumulator-Assisted Distributed Turbo Codes,Elektronika
Penerapan Metoda Akses LTE Arah Uplink dengan Teknik SC-FDMA pada Sistem Komunikasi Seluler Berbasis High Altitude Platform Application of Uplink LTE Access Method using SC-FDMA Technique Deployed for Cellular Communication Based on High Altitude Platform,Teknik Biomedika
Fluid Shader untuk Rendering Simulasi Fluida pada Mobile GPU,Informatika
"E-rINA, Framework Inovatif pada Akses Jaringan Informasi untuk Layanan Kelas Virtual Real-Time di Daerah Rural (E-rINA, An Innovative Framework of Information Network Access for Real-Time Virtual Class Service in Rural Area)",Teknologi Informasi
"Modelling, Fabrication and Characterization Of Titanium-Oxide Memristor Device",Elektronika
Peningkatan Pemahaman Sistem Transportasi Masal Berbasis Elektrik Sebagai Dasar Perencanaan Kebijakan Transportasi,Teknik Ketenagalistrikan
Simple Control Method Of Multicell Inverters Using The Hybrid Approach,Teknik Ketenagalistrikan
Pendidikan Teknologi Informasi dan Pemrograman untuk Anak-anak,Teknik Komputer
"Peningkatan Kapasitas Sistem CDMA Menggunakan Teknik RAKE, Power Control, Diversity, Muticarrier dan Multiuser",Teknik Telekomunikasi
Sistem Pelacak Real Time untuk Atlit Sepak Bola (Real Time Soccer Athlete Tracker),Teknik Biomedika
Pengembangan Recommender System berbasis pada Kebutuhan Fungsional Pengguna,Informatika
Sistem Pengenalan Buah Otomatis (Automatic Fruit Recognition System),Informatika
Pengembangan Framework  untuk Aplikasi Mobile Pencegah Perdagangan Anak,Rekayasa Perangkat Lunak dan Data
Pembangkitan Pertanyaan untuk Sistem Tanya Jawab Medis dalam bahasa Indonesia,Informatika
Sistem Informasi Adaptif untuk Perguruan Tinggi Berbasis Top-down Design dan Bottom-up Implementation,Informatika
Reduksi Kompleksitas Komputasi Metrik pada Jejaring Sosial Skala Besar Menggunakan Graph Summary,Teknik Komputer
SINTESIS EKSPRESI WAJAH UNTUK  TALKING AVATAR PADA SISTEM CHATBOT,Informatika
Desain dan Implementasi Prosessor Kognitif untuk Sistem Instrumentasi Kognitif,Elektronika
Digital Wireless Projector for Smartphone,Elektronika
Pengembangan Platform Portaudio DSP untuk Aplikasi Komunikasi Suara Aman Bebas Sadap,Teknologi Informasi
Desain Perangkat Keras  True Random Number Generator (TRNG),Elektronika
Pengembangan Algoritma Sinkronisasi dan Prototip Rangkaian Chaos Berbasis Memristor  untuk Komunikasi Analog Tersembunyi,Elektronika
Sound Imaging Frekwensi Terdengar (Studi Kasus Sistem Hostile Artilery Locator),Sistem Kendali dan Komputer
Pembangunan Unified Knowledge Representation  pada Knowledge-based System,Informatika
Kecerdasan Buatan Multilayer Dengan Unsupervised Learning Pada Layer Bawah dan Jejaring Analitik Pada Level Atas (Studi Kasus Robosoccer),Sistem Kendali dan Komputer
Inteligence Mesin Perseption Berbasis Informasi Citra dan Abstraksi Semantic Lingkungan (Studi Kasus Lingkungan Jalan Raya),Teknik Komputer
Implementasi QR Decomposition pada FPGA untuk Aplikasi Antena Digital Phased Array,Teknik Telekomunikasi
Implementasi Filter Daya Aktif Modular Dengan Metode Pembatasan Daya Kompleks dan Metode Skala,Teknik Ketenagalistrikan
Sistem Diagnostik Non Invasiv Jantung Terpadu: Auskultasi dan EKG,Teknik Biomedika
Sistem Enterprise Resource Planning ODoo untuk Peningkatan Keunggulan Industri Kecil & Menengah,Informatika
Pengembangan Sistem Transfer Energi Nirkabel untuk Pengisian Baterei Telepon Selular,Teknik Telekomunikasi
Pembuatan Prototype Service-Based Enterprise Resource Planning (Service-Based ERP) untuk Industri Kecil dan Menengah,Teknologi Informasi
Sistem Monitoring Pemakaian Daya Listrik Perangkat Berbasis Web,Teknik Telekomunikasi
Local Characterization of Nano Composite Polymers used in Electrical Engineering,Teknik Ketenagalistrikan
Aktivitas Anti Proliferasi dan Inhibisi Migrasi Sel Otot Polos Vaskular dari Nanoenkapsulasi Ekstrak Arachis hypogaea dan Allium cepa L. untuk Pencegahan Restenosis pada Stent Jantung,Teknik Biomedika
Pengembangan Sistem Data Terbuka Guna Mendukung Peningkatan Keunggulan dan Keberlanjutan UMKM,Rekayasa Perangkat Lunak dan Data
Penerapan Teknologi Process Mining untuk Memperbaiki Kinerja dan Efisiensi Bisnis Proses (Studi Kasus: Sistem Pengelolaan Sumber Daya),Rekayasa Perangkat Lunak dan Data
Pengembangan Sistem Enterprise Resource Planning (ERP) untuk Industri Kecil-Menengah,Teknik Telekomunikasi
Perancangan dan Implementasi Enterprise Resource Planning Berbasis Open Source untuk Usaha Kecil-Menengah,Teknik Telekomunikasi
Implementasi GPS tracking untuk Menjejak Pergerakan Truk Pengangkut Sampah pada PD Kebersihan Kotamadya Bandung,Teknik Telekomunikasi
Pengukuran Radiasi Gelombang Elektromagnetik di Kampus ITB sebagai Langkah Preventif Kepedulian Terhadap Bahaya Radiasi Gelombang Elektromagnetik di Kampus,Teknik Telekomunikasi
Pengembangan UKM Jasa dengan  Pemanfaatan Software As A Services (SaaS),Teknik Telekomunikasi
Penerapan Teacher Portal untuk Peningkatan Literasi Internet bagi Komunitas Guru Sekolah Dasar di Cianjur ��� Jawa Barat,Teknologi Informasi
Sistem Benchmarking untuk Mengukur Kinerja  Implementasi E-Government,Rekayasa Perangkat Lunak dan Data
Perangkat Berbasis Sensor PPG dan Tekanan untuk Pencegahan Penyakit Jantung dan Stroke di Masyarakat,Teknik Biomedika
Studi Ocean Thermal Energy Conversion untuk Aplikasi Pemanfaatan Potensi Energi Panas Laut di Indonesia,Teknik Ketenagalistrikan
Penyempurnaan Situs Pengindeks Sitasi Jurnal-Jurnal Indonesia,Sistem Kendali dan Komputer
Pengembangan Teknik Kontrol Jaringan Nirkabel Generasi-5 (5G) untuk Meningkatkan Throughput dan Mengurangi Latency,Teknik Telekomunikasi
Stego-ECC berbasis noise dengan Error Correcting Code,Teknik Komputer
Pengembangan Mobile Voting (Development of Mobile Voting),Teknik Komputer
:  Kajian Active Sharing Untuk Meningkatkan Efisiensi Penggunaan Spektrum dan Mempercepat Pembangunan Infrastruktur Telekomunikasi di Indonesia,Teknik Telekomunikasi
PEMBANGUNAN SISTEM DIAGNOSIS BERBANTUKAN KOMPUTER UNTUK KASUS RETINOPATI DIABETIK,Teknik Biomedika
PEMBANGUNAN PLATFORM TELEOFTALMOLOGI DIGITAL UNTUK MANAJEMEN KATARAK,Teknik Biomedika
Pengembangan Testbed Programmable WiFi,Teknik Telekomunikasi
Sistem Monitoring Pemakaian Daya Listrik  Berbasis Web,Teknik Biomedika
Platform Penjaminan Kualitas Layanan Voice over IP Terenkripsi dengan Metode Alokasi Ketersediaan Bandwidth pada Jaringan Berkapasitas Terbatas,Teknologi Informasi
Sistem Komunikasi Video Terkompresi yang Aman (Secure) untuk Keamanan dan Pertahanan,Teknik Telekomunikasi
Penerapan Software Defined Networking (SDN) untuk Menanggulangi Masalah Exposed Terminal dan Hidden Terminal pada Jaringan WiFi,Teknik Telekomunikasi
Pemanfaatan Social Media Marketing untuk UKM Boneka di Kota Bandung,Informatika
Implementasi Sistem Informasi dan Manajemen Pembelajaran untuk Guru (SIMAP) dan Pemberdayaan Guru di Cianjur - Jawa Barat,Teknologi Informasi
PENGEMBANGAN TRUCK-SHARING SYSTEM PADA START UP SMART MOBILITY,Teknologi Informasi
Pengembangan Sistem Check-In dan Boarding di Bandar Udara Berbasis NFC (Near Field   Communication) Menggunakan Single Identity,Teknik Komputer
Pengembangan Sistem Self-Adaptive untuk Penyediaan Layanan Perguruan Tinggi Secara Berkelanjutan,Informatika
Pengembangan Sistem Tanya Jawab Berbasis Bahasa Alami untuk Aplikasi Kesehatan di Puskesmas,Informatika
Pembangunan Sistem Informasi Akuntansi Cerdas menggunakan Natural Language  dan Struktur Dinamis,Informatika
Otomatisasi Pengenalan Buah dan Sayur di Supermarket berbasis Depth Sensor,Informatika
Pengembangan Teknik Kontrol Jaringan Nirkabel Generasi-5 (5G) untuk Meningkatkan Throughput dan Mengurangi Latency,Teknik Telekomunikasi
Perancangan dan Pembuatan Rangkaian Pendeteksi Partial Discharge Ultrawide Band,Teknik Ketenagalistrikan
Pengembangan Aplikasi Ponsel Cerdas Berbasis Moodle untuk Pembelajaran Online  di Perguruan Tinggi,Teknologi Informasi
Penerapan Software Defined Networking (SDN) untuk Menanggulangi Masalah Exposed Terminal dan Hidden Terminal pada Jaringan WiFi,Teknik Telekomunikasi
Desain Pembangkit Listrik Tenaga Termal Air Laut untuk Memenuhi Kebutuhan Energi Listrik di Indonesia,Teknik Ketenagalistrikan
Penggabungan Sumber Informasi Terstruktur dan Tidak Terstruktur dalam Chatbot Bahasa Indonesia,Informatika
Pengembangan Prototipe Sensor Deteksi Gempa Bumi Tepat Guna,Teknik Komputer
Aplikasi Kendali Hibrid Pada Konverter Boost Untuk Menurunkan Frekuensi Pensaklaran,Teknik Ketenagalistrikan
Pengembangan Model Teletraffic dan Analisa Optimasi Jaringan untuk Sistem Telekomunikasi Selular LTE (4G),Teknik Telekomunikasi
Pengembangan Framework E-Learning VidyaNusa sebagai Prototipe Next Generation E-Learning.,Elektronika
Pengembangan Modul Kontroller untuk Sistem Autotracking Satelit VSAT,Teknik Telekomunikasi
Pengembangan Mobil Rental Internet of Things (IoT),Teknik Komputer
Pemanfaatan Teknologi Wireless Mesh Network untuk Membangun Sistem Akses Informasi dalam Gerbong Kereta Api,Teknik Telekomunikasi
Pengembangan Sistem Komunikasi Filterbank Multicarrier,Teknik Telekomunikasi
Development of Question Answering System for Treatment of Baby Blues Syndrome in Public Health Center,Informatika
Multi-view Object Recognition based on Shape Association,Informatika
Development of Intelligence Accounting Information based on Natural Language and Dynamic Structure,Informatika
Geospatial Analytical Search Engine: Performing Extraction and Retrieval of Thematic Maps from Web Sources,Informatika
Pelatihan/Penyuluhan Penggunaan Teknologi Informasi Secara Bijak Untuk  Masyarakat Binaan di Kelurahan Cicaheum Kota Bandung,Teknik Telekomunikasi
Penerapan Learning Management System (LMS) berbasis Mobile dengan Teknologi Multimedia untuk Pembelajaran di Sekolah Pedesaan,Teknologi Informasi
Normalisasi Lembar Teks Dokumen Dengan Teknik Remapping Image untuk Scanner dengan Camera Android,Informatika
Pembuatan dan Penerbitan Buku Ajar,Elektronika
DECISION SUPPORT SYSTEM TO DETERMINE THE TRACK OPTIONS FOR INSTALLATION OF GAS DISTRIBUTION PIPE BETWEEN SUPPLIER AND DISTRIBUTION POINT,Informatika
Pengembangan Metoda Pencuplikan Kompresif Untuk Pengolahan Sinyal Lanjut,Teknik Telekomunikasi
Pengembangan Sistem Pengenalan dan Penjejakan Objek Bergerak menggunakan Sensor Kamera Long Wave Infrared (LWIR),Sistem Kendali dan Komputer
Pemantauan Kualitas Udara di Kota dan Kabupaten Bandung Menggunakan WSN IOT Berbasis High Altitude Platform pada Jaringan 5G,Teknik Telekomunikasi
Pembangunan Chatbot Bahasa Indonesia untuk Alat Bantu Pembelajaran Bahasa Inggris,Informatika
Pengembangan Platform Telematika Terpadu untuk Komunikasi Komunitas Multi-Aplikasi - Pilot Project Telematika Open.Session,Teknik Telekomunikasi
Sistem Interpretasi Visual (Studi Kasus: Pengenalan Objek Buah-Buahan),Informatika
Pengembangan sistem komputer wahana bawah air mandiri berbasiskan open source robotics framework,Sistem Kendali dan Komputer
Desain dan Perancangan Pengkodean Kanal Downlink Sistem 4G LTE Menggunakan Infrastruktur High Altitude Platform (HAP),Teknik Telekomunikasi
ARSITEKTUR HARDWARE ACCELERATOR UNTUK ELLIPTIC CURVE CRYPTOSYSTEM YANG CEPAT EFFISIEN DAN MENDUKUNG MULTI STANDAR,Elektronika
Perancangan dan Pembuatan Sensor Partial Discharge untuk Deteksi Dini Degradasi Isolasi Peralatan Listrik Tegangan Tinggi,Teknik Ketenagalistrikan
Rancang Bangun Perangkat Light-Fidelity (Li-Fi) untuk Aplikasi High-Speed Internet Acces,Elektronika
Aplikasi teknologi Ambient Assisted Living (AAL) untuk menciptakan lingkungan yang aman bagi lanjut usia,Teknik Telekomunikasi
